,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
4,"325Justin KluivertBournemouth, 24, AM(CLR),FW","Justin Kluivert Bournemouth, 24, AM(CLR),FW",15(5),1103,1.1,0.3,1.6,-,0.4,0.8,-,-,6.44
5,"326Benoît BadiashileChelsea, 22, D(C)","Benoît Badiashile Chelsea, 22, D(C)",6(2),559,1.6,0.6,0.6,0.4,3.8,0.5,0.5,-,6.44
6,"327Calvin BasseyFulham, 24, D(CL)","Calvin Bassey Fulham, 24, D(CL)",14(4),1312,1.4,1.2,0.6,0.4,2.3,0.2,0.4,-,6.43
7,"328Christopher NkunkuChelsea, 26, M(CLR),FW","Christopher Nkunku Chelsea, 26, M(CLR),FW",2(5),318,0.3,0.3,0.9,0.1,0.4,-,-,-,6.43
8,"329Joël VeltmanBrighton, 32, D(CR),M(R)","Joël Veltman Brighton, 32, D(CR),M(R)",10(9),1035,1.6,0.7,0.6,0.2,1.9,0.7,0.4,-,6.43
9,"330Billy GilmourBrighton, 22, DMC","Billy Gilmour Brighton, 22, DMC",20(5),1782,0.8,0.3,0.7,-,0.6,0.8,0.3,-,6.43
0,"331James McAteeSheff Utd, 21, AM(CR)","James McAtee Sheff Utd, 21, AM(CR)",17(4),1509,1.3,0.4,0.5,-,0.5,0.7,-,-,6.43
1,"332Yasser LarouciSheff Utd, 23, D(L),M(L)","Yasser Larouci Sheff Utd, 23, D(L),M(L)",4(5),421,1.7,0.8,0.6,-,2,0.3,0.1,-,6.43
2,"333Sergio ReguilónMan Utd, 27, D(L),M(L)","Sergio Reguilón Man Utd, 27, D(L),M(L)",4(5),412,1.4,0.6,0.4,0.2,0.6,1.0,-,-,6.42
3,"334Ryan YatesNottingham Forest, 26, DMC","Ryan Yates Nottingham Forest, 26, DMC",12(12),1251,1.8,0.6,1.8,-,1.1,0.4,0.5,-,6.42
4,"335Kristoffer AjerBrentford, 25, D(CR),DMC","Kristoffer Ajer Brentford, 25, D(CR),DMC",12(7),1116,1.2,0.8,0.8,0.4,2.5,0.5,0.3,-,6.42
5,"336Lisandro MartínezMan Utd, 26, D(CL),DMC","Lisandro Martínez Man Utd, 26, D(CL),DMC",7(1),562,1.4,0.5,0.5,0.3,2.3,0.9,0.9,1,6.42
6,"337Nathan PattersonEverton, 22, D(R),M(R)","Nathan Patterson Everton, 22, D(R),M(R)",9(10),955,1.7,0.5,0.9,0.1,1.4,1.2,0.2,-,6.41
7,"338Adam WebsterBrighton, 29, D(C)","Adam Webster Brighton, 29, D(C)",9(1),768,1.1,0.9,0.6,0.3,2.9,0.9,0.4,1,6.41
8,"339Philippe CoutinhoAston Villa, 31, M(CLR)","Philippe Coutinho Aston Villa, 31, M(CLR)",0(2),24,-,-,-,-,-,0.5,-,-,6.41
9,"340Keane Lewis-PotterBrentford, 23, M(CLR),FW","Keane Lewis-Potter Brentford, 23, M(CLR),FW",9(11),914,0.8,0.3,0.3,0.1,0.4,0.2,0.1,-,6.41
0,"341Tariq LampteyBrighton, 23, D(LR),M(R)","Tariq Lamptey Brighton, 23, D(LR),M(R)",7(5),565,0.8,0.4,0.6,0.3,0.1,0.7,0.2,-,6.41
1,"342Nayef AguerdWest Ham, 27, D(C)","Nayef Aguerd West Ham, 27, D(C)",19,1687,1.2,0.8,0.5,0.4,4,0.2,1.1,-,6.41
2,"343Rico LewisMan City, 19, D(R),M(C)","Rico Lewis Man City, 19, D(R),M(C)",5(5),455,0.5,0.4,0.4,0.1,0.2,0.2,0.1,-,6.41
3,"344Tim ReamFulham, 36, D(CL),DMC","Tim Ream Fulham, 36, D(CL),DMC",16(1),1415,1.1,1.5,0.5,0.9,3.2,0.5,0.9,-,6.4
4,"345Christian EriksenMan Utd, 32, M(CLR),FW","Christian Eriksen Man Utd, 32, M(CLR),FW",9(7),886,0.9,0.2,0.4,0.1,0.6,1.2,0.3,-,6.4
5,"346Moussa NiakhatéNottingham Forest, 27, D(CL)","Moussa Niakhaté Nottingham Forest, 27, D(CL)",12(4),1160,2.1,0.6,0.5,0.2,2.5,0.3,0.6,-,6.4
6,"347Andros TownsendLuton, 32, AM(CLR),FW","Andros Townsend Luton, 32, AM(CLR),FW",10(7),839,0.9,0.2,0.6,-,0.2,0.6,-,-,6.4
7,"348Hannibal MejbriMan Utd, 21, AM(C)","Hannibal Mejbri Man Utd, 21, AM(C)",1(4),130,0.6,-,1.0,-,-,0.4,0.2,-,6.39
8,"349DaniloNottingham Forest, 22, M(C)","Danilo Nottingham Forest, 22, M(C)",11(9),1066,1.0,0.9,0.4,0.1,1.3,0.9,0.3,-,6.39
