,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
2,"443Ben JohnsonWest Ham, 24, D(CLR),M(LR)","Ben Johnson West Ham, 24, D(CLR),M(LR)",4(5),397,0.8,0.6,0.2,0.1,0.9,0.1,0.1,-,6.2
3,"444Dean HendersonCrystal Palace, 26, GK","Dean Henderson Crystal Palace, 26, GK",8,720,-,-,-,-,1,-,-,-,6.2
4,"445Tawanda ChirewaWolves, 20, Midfielder","Tawanda Chirewa Wolves, 20, Midfielder",0(2),11,1,0.5,1,-,-,-,-,-,6.2
5,"446Nicolò ZanioloAston Villa, 24, AM(CLR),FW","Nicolò Zaniolo Aston Villa, 24, AM(CLR),FW",7(11),553,0.6,0.1,1.1,-,0.5,0.3,-,-,6.2
6,"447Ben OsbornSheff Utd, 29, D(L),M(CLR)","Ben Osborn Sheff Utd, 29, D(L),M(CLR)",5(8),537,0.7,0.2,0.2,-,0.7,0.2,-,-,6.2
7,"448Lesley UgochukwuChelsea, 19, DMC","Lesley Ugochukwu Chelsea, 19, DMC",3(7),271,1.2,0.1,0.4,-,0.3,0.5,0.2,-,6.2
8,"449Eric DierTottenham, 30, D(CR),DMC","Eric Dier Tottenham, 30, D(CR),DMC",1(3),198,0.5,0.5,-,0.5,3,-,0.8,-,6.2
9,"450Oliver SkippTottenham, 23, DMC","Oliver Skipp Tottenham, 23, DMC",4(13),572,0.9,0.1,0.4,0.1,0.2,0.4,0.1,-,6.19
0,"451Divock OrigiNottingham Forest, 28, AM(LR),FW","Divock Origi Nottingham Forest, 28, AM(LR),FW",3(10),334,0.3,0.1,0.7,-,-,-,-,-,6.19
1,"452Mike TrésorBurnley, 24, AM(CLR)","Mike Trésor Burnley, 24, AM(CLR)",3(11),400,0.7,0.1,-,0.1,0.1,0.6,-,-,6.18
2,"453Lewis HallNewcastle, 19, D(L),M(L)","Lewis Hall Newcastle, 19, D(L),M(L)",1(7),106,1.3,0.3,0.1,-,-,0.4,-,-,6.17
3,"454Hannes DelcroixBurnley, 25, D(CL)","Hannes Delcroix Burnley, 25, D(CL)",5(6),563,0.9,0.7,0.5,0.1,1.7,0.1,0.2,-,6.17
4,"455Mohamed ElnenyArsenal, 31, DMC","Mohamed Elneny Arsenal, 31, DMC",0(3),25,-,0.3,0.3,-,-,0.3,-,-,6.16
5,"456John EganSheff Utd, 31, D(C)","John Egan Sheff Utd, 31, D(C)",6,484,1,2.2,1,0.5,6.5,1.2,0.7,-,6.16
6,"457Alejo VélizTottenham, 20, FW","Alejo Véliz Tottenham, 20, FW",0(8),45,0.1,-,-,-,-,-,-,-,6.15
7,"458Boubacar TraoréWolves, 22, M(C)","Boubacar Traoré Wolves, 22, M(C)",3(11),394,0.9,0.2,0.9,-,0.3,0.4,0.1,-,6.15
8,"459Matz SelsNottingham Forest, 32, GK","Matz Sels Nottingham Forest, 32, GK",5,450,-,-,-,-,1,-,-,-,6.15
9,"460Reiss NelsonArsenal, 24, M(LR)","Reiss Nelson Arsenal, 24, M(LR)",0(13),171,0.6,0.1,0.2,-,0.4,0.1,0.1,-,6.15
0,"461Jairo RiedewaldCrystal Palace, 27, D(CL),DMC","Jairo Riedewald Crystal Palace, 27, D(CL),DMC",2(2),175,1,0.5,0.8,-,-,0.3,-,-,6.15
1,"462Maxime EsteveBurnley, 21, D(C)","Maxime Esteve Burnley, 21, D(C)",3(1),277,1,0.8,1,0.3,4.8,0.8,0.5,-,6.15
2,"463Cesare CasadeiChelsea, 21, DMC","Cesare Casadei Chelsea, 21, DMC",0(2),13,0.5,-,0.5,-,1,-,-,-,6.15
3,"464Bryan GilTottenham, 23, AM(CLR)","Bryan Gil Tottenham, 23, AM(CLR)",2(8),191,0.1,0.3,0.2,-,0.4,0.2,-,-,6.14
4,"465Danny IngsWest Ham, 31, AM(C),FW","Danny Ings West Ham, 31, AM(C),FW",2(11),247,0.4,0.1,0.2,-,0.3,0.5,0.1,-,6.14
5,"466Jakub ModerBrighton, 24, M(CL)","Jakub Moder Brighton, 24, M(CL)",0(8),139,1,-,0.4,-,0.5,0.3,-,-,6.14
6,"467Joe RothwellBournemouth, 29, M(CL)","Joe Rothwell Bournemouth, 29, M(CL)",3(8),383,0.6,0.3,0.4,-,0.2,0.5,0.2,-,6.14
7,"468Tim IroegbunamAston Villa, 20, M(C)","Tim Iroegbunam Aston Villa, 20, M(C)",0(4),35,0.5,0.3,0.8,-,-,0.5,-,-,6.13
8,"469Radu DragusinTottenham, 22, D(C)","Radu Dragusin Tottenham, 22, D(C)",0(3),8,-,0.7,-,-,0.7,-,-,-,6.13
9,"470David OzohCrystal Palace, 18, Midfielder","David Ozoh Crystal Palace, 18, Midfielder",0(8),129,1.1,-,0.3,0.1,0.3,0.1,-,-,6.13
0,"471Cheikhou KouyatéNottingham Forest, 34, D(CR),DMC","Cheikhou Kouyaté Nottingham Forest, 34, D(CR),DMC",2(8),202,0.8,0.2,0.3,-,0.9,0.3,0.1,-,6.13
1,"472Cédric SoaresArsenal, 32, D(LR),M(R)","Cédric Soares Arsenal, 32, D(LR),M(R)",0(2),34,-,-,-,-,-,-,-,-,6.12
2,"473Ameen Al DakhilBurnley, 21, D(C)","Ameen Al Dakhil Burnley, 21, D(C)",12(1),1056,0.9,0.9,0.5,0.6,2.6,0.7,0.5,1,6.11
3,"474Hjalmar EkdalBurnley, 25, D(C)","Hjalmar Ekdal Burnley, 25, D(C)",4(2),327,0.3,0.7,0.7,0.5,2.8,0.2,0.3,-,6.11
4,"475Ivo GrbicSheff Utd, 28, GK","Ivo Grbic Sheff Utd, 28, GK",2,142,-,-,-,-,1,-,-,-,6.11
5,"476Josh DasilvaBrentford, 25, M(C)","Josh Dasilva Brentford, 25, M(C)",0(3),23,0.7,-,0.7,-,-,-,-,-,6.11
6,"477Bobby ClarkLiverpool, 19, Midfielder","Bobby Clark Liverpool, 19, Midfielder",1(4),87,0.4,0.2,0.8,-,0.2,0.8,0.4,-,6.1
7,"478Paul DummettNewcastle, 32, D(CL)","Paul Dummett Newcastle, 32, D(CL)",0(1),4,1,-,-,-,-,-,-,-,6.1
8,"479Matt RitchieNewcastle, 34, D(L),M(CLR)","Matt Ritchie Newcastle, 34, D(L),M(CLR)",0(8),104,0.4,0.1,0.3,-,0.6,0.1,-,-,6.09
9,"480Pelly Ruddock MpanzuLuton, 29, M(C)","Pelly Ruddock Mpanzu Luton, 29, M(C)",8(12),827,0.4,0.3,0.4,-,0.7,0.2,0.2,-,6.09
0,"481Naouirou AhamadaCrystal Palace, 21, M(C)","Naouirou Ahamada Crystal Palace, 21, M(C)",0(15),201,0.3,0.1,0.3,-,0.2,0.4,-,-,6.09
1,"482Nathan RedmondBurnley, 29, AM(CLR),FW","Nathan Redmond Burnley, 29, AM(CLR),FW",0(12),133,0.2,-,0.3,-,0.3,0.3,-,-,6.08
2,"483Ian MaatsenChelsea, 21, D(L),M(CLR)","Ian Maatsen Chelsea, 21, D(L),M(CLR)",1(11),201,0.3,0.3,0.4,0.1,0.8,0.3,-,-,6.08
3,"484Remi MatthewsCrystal Palace, 30, GK","Remi Matthews Crystal Palace, 30, GK",0(1),3,-,-,-,-,1,-,-,-,6.08
4,"485Tyrone MingsAston Villa, 30, D(CL)","Tyrone Mings Aston Villa, 30, D(CL)",1,31,-,1,-,-,1,-,-,-,6.08
5,"486Benson ManuelBurnley, 26, AM(LR),FW","Benson Manuel Burnley, 26, AM(LR),FW",1(4),75,0.4,-,0.2,-,-,-,-,-,6.08
6,"487Romain FaivreBournemouth, 25, AM(CLR)","Romain Faivre Bournemouth, 25, AM(CLR)",0(3),16,0.3,-,0.3,-,-,1,-,-,6.06
7,"488Michael OlakigbeBrentford, 19, Forward","Michael Olakigbe Brentford, 19, Forward",0(8),51,0.4,0.1,0.3,-,-,0.3,-,-,6.06
8,"489Alex MurphyNewcastle, 19, Defender","Alex Murphy Newcastle, 19, Defender",0(1),3,-,1,1,-,-,1,-,-,6.06
9,"490Han-Noah MassengoBurnley, 22, M(C)","Han-Noah Massengo Burnley, 22, M(C)",0(3),14,0.3,-,-,-,-,-,-,-,6.06
0,"491Armando BrojaFulham, 22, FW","Armando Broja Fulham, 22, FW",0(3),38,-,-,1.3,-,-,-,-,-,6.06
1,"492Nathan FraserWolves, 19, Forward","Nathan Fraser Wolves, 19, Forward",0(3),97,0.3,-,0.7,-,0.3,0.7,0.3,-,6.06
2,"493Aaron RamseyBurnley, 21, AM(CL)","Aaron Ramsey Burnley, 21, AM(CL)",5(9),526,1.2,0.1,0.5,-,0.7,0.6,0.1,-,6.06
3,"494Jonny OttoWolves, 30, D(CLR),M(LR)","Jonny Otto Wolves, 30, D(CLR),M(LR)",0(1),4,-,-,-,-,-,1,1,-,6.05
4,"495Alfie GilchristChelsea, 20, Defender","Alfie Gilchrist Chelsea, 20, Defender",0(5),18,0.2,0.2,0.2,-,0.4,0.2,0.2,-,6.05
5,"496Divin MubamaWest Ham, 19, Forward","Divin Mubama West Ham, 19, Forward",0(5),76,-,-,0.2,-,-,-,-,-,6.04
6,"497Benicio Baker-BoaiteyBrighton, 20, Forward","Benicio Baker-Boaitey Brighton, 20, Forward",0(4),14,-,-,-,-,0.3,-,-,-,6.04
7,"498Sydie PeckSheff Utd, 19, Midfielder","Sydie Peck Sheff Utd, 19, Midfielder",0(1),9,-,-,-,-,-,-,-,-,6.04
8,"499Fábio SilvaWolves, 21, AM(L),FW","Fábio Silva Wolves, 21, AM(L),FW",3(5),261,0.9,0.3,1,-,-,0.1,-,-,6.04
9,"500Jayden DannsLiverpool, 18, Forward","Jayden Danns Liverpool, 18, Forward",0(2),7,-,-,1,-,-,-,-,-,6.03
0,"501Anis Ben SlimaneSheff Utd, 22, AM(C)","Anis Ben Slimane Sheff Utd, 22, AM(C)",4(7),363,0.7,0.4,0.5,-,0.5,0.5,0.1,1,6.03
1,"502Chris MephamBournemouth, 26, D(C)","Chris Mepham Bournemouth, 26, D(C)",3(3),267,0.7,0.7,1,0.2,1.8,0.7,0.5,-,6.03
2,"503Jaidon AnthonyBournemouth, 24, AM(LR)","Jaidon Anthony Bournemouth, 24, AM(LR)",2(1),154,1,0.3,1.3,-,0.7,2,-,-,6.03
3,"504James McConnellLiverpool, 19, Midfielder","James McConnell Liverpool, 19, Midfielder",0(3),3,-,0.3,0.3,-,-,-,-,-,6.02
4,"505Aaron CresswellWest Ham, 34, D(CL),M(L)","Aaron Cresswell West Ham, 34, D(CL),M(L)",2(2),146,0.3,-,-,-,0.8,-,0.3,-,6.02
5,"506Donny van de BeekMan Utd, 26, M(C)","Donny van de Beek Man Utd, 26, M(C)",0(1),2,-,-,-,-,-,-,-,-,6.02
6,"507Luke BerryLuton, 31, AM(C)","Luke Berry Luton, 31, AM(C)",0(6),49,-,-,0.3,-,-,-,-,-,6.02
7,"508William OsulaSheff Utd, 20, FW","William Osula Sheff Utd, 20, FW",9(7),677,0.1,0.1,0.8,-,0.4,0.1,0.1,-,6.02
8,"509Jack CorkBurnley, 34, DMC","Jack Cork Burnley, 34, DMC",0(3),18,0.7,-,0.7,-,0.3,0.7,-,-,6.02
9,"510Connor RobertsBurnley, 28, D(LR),M(R)","Connor Roberts Burnley, 28, D(LR),M(R)",8(6),819,0.9,0.3,0.4,-,1.6,0.6,0.4,-,6.01
0,"511Bénie TraoréSheff Utd, 21, Forward","Bénie Traoré Sheff Utd, 21, Forward",3(5),387,0.5,0.1,1.3,-,0.1,0.5,0.1,-,6.01
1,"512Youssef ChermitiEverton, 19, FW","Youssef Chermiti Everton, 19, FW",0(10),58,-,-,0.2,-,-,0.2,-,-,6.01
2,"513Thilo KehrerWest Ham, 27, D(CLR),M(R)","Thilo Kehrer West Ham, 27, D(CLR),M(R)",0(4),19,0.3,-,0.5,-,-,-,0.5,-,6.01
3,"514Enes ÜnalBournemouth, 26, FW","Enes Ünal Bournemouth, 26, FW",0(3),24,-,-,0.3,-,-,0.3,-,-,6.0
4,"515Alex MatosChelsea, 19, DMC","Alex Matos Chelsea, 19, DMC",0(1),1,-,-,-,-,-,-,-,-,6.0
5,"516Amadou DialloNewcastle, 21, Forward","Amadou Diallo Newcastle, 21, Forward",0(1),1,-,-,-,-,-,-,-,-,6.0
6,"517Dane ScarlettTottenham, 19, FW","Dane Scarlett Tottenham, 19, FW",0(1),1,-,-,-,-,-,-,-,-,6.0
7,"518Daniel GoreMan Utd, 19, Midfielder","Daniel Gore Man Utd, 19, Midfielder",0(1),1,1,1,-,-,-,-,-,-,6.0
8,"519James McAteeMan City, 21, AM(CR)","James McAtee Man City, 21, AM(CR)",0(1),1,-,-,-,-,-,-,-,-,6.0
9,"520James TomkinsCrystal Palace, 34, D(CR)","James Tomkins Crystal Palace, 34, D(CR)",0(3),5,-,0.3,-,-,-,-,-,-,6.0
0,"521Jamie DonleyTottenham, 19, Forward","Jamie Donley Tottenham, 19, Forward",0(3),3,-,-,0.3,-,0.7,-,-,-,6.0
1,"522Joe WhiteNewcastle, 21, AM(C)","Joe White Newcastle, 21, AM(C)",0(1),1,-,-,1,-,-,-,-,-,6.0
2,"523Kaide GordonLiverpool, 19, Forward","Kaide Gordon Liverpool, 19, Forward",0(1),1,-,-,-,-,-,-,-,-,6.0
3,"524Marcus BettinelliChelsea, 31, GK","Marcus Bettinelli Chelsea, 31, GK",1,1,-,-,-,-,-,-,-,-,6.0
4,"525Marek RodákFulham, 27, GK","Marek Rodák Fulham, 27, GK",1,1,-,-,-,-,-,-,-,-,6.0
5,"526Michael NdiweniNewcastle, 20, Forward","Michael Ndiweni Newcastle, 20, Forward",0(1),1,-,-,-,-,-,-,-,-,6.0
6,"527Rodrigo RibeiroNottingham Forest, 18, Forward","Rodrigo Ribeiro Nottingham Forest, 18, Forward",0(1),1,-,1,-,-,-,-,-,-,6.0
7,"528Thomas CannonEverton, 21, FW","Thomas Cannon Everton, 21, FW",0(1),1,-,-,-,-,-,-,-,-,6.0
8,"529Tyler OnyangoEverton, 20, M(C)","Tyler Onyango Everton, 20, M(C)",0(1),1,-,-,-,-,-,-,-,-,6.0
9,"530Myles Peart-HarrisBrentford, 21, AM(C),FW","Myles Peart-Harris Brentford, 21, AM(C),FW",0(3),11,-,-,0.7,-,0.3,-,-,-,6.0
0,"531Cole PalmerMan City, 21, AM(CR),FW","Cole Palmer Man City, 21, AM(CR),FW",0(1),10,-,-,1,-,-,-,-,-,5.99
1,"532Neal MaupayEverton, 27, AM(C),FW","Neal Maupay Everton, 27, AM(C),FW",1(1),112,-,-,0.5,-,0.5,0.5,-,-,5.99
2,"533Willy KambwalaMan Utd, 19, Defender","Willy Kambwala Man Utd, 19, Defender",1(1),85,0.5,-,0.5,-,1.5,-,0.5,-,5.99
3,"534Andrey SantosNottingham Forest, 19, M(C)","Andrey Santos Nottingham Forest, 19, M(C)",0(1),7,-,-,-,-,-,-,-,-,5.98
4,"535Bertrand TraoréAston Villa, 28, AM(R),FW","Bertrand Traoré Aston Villa, 28, AM(R),FW",0(2),10,0.5,-,-,-,-,-,-,-,5.98
5,"536John FleckSheff Utd, 32, DMC","John Fleck Sheff Utd, 32, DMC",1(3),90,0.3,-,0.5,-,0.3,0.3,-,-,5.98
6,"537Tom DaviesSheff Utd, 25, M(C)","Tom Davies Sheff Utd, 25, M(C)",0(7),125,1.1,0.4,0.6,-,0.6,0.9,0.1,-,5.96
7,"538Ben DoakLiverpool, 18, Forward","Ben Doak Liverpool, 18, Forward",0(1),13,-,-,-,-,-,-,-,-,5.95
8,"539Mason BurstowChelsea, 20, FW","Mason Burstow Chelsea, 20, FW",0(2),8,-,-,-,-,-,-,-,-,5.95
9,"540Deivid WashingtonChelsea, 18, FW","Deivid Washington Chelsea, 18, FW",0(1),9,1,-,-,-,-,1,-,-,5.94
0,"541Rhys Norrington-DaviesSheff Utd, 24, D(CL),M(L)","Rhys Norrington-Davies Sheff Utd, 24, D(CL),M(L)",2(3),111,0.2,0.2,0.6,0.2,0.4,0.2,-,-,5.94
1,"542Mason HolgateSheff Utd, 27, D(CR),DMC,M(R)","Mason Holgate Sheff Utd, 27, D(CR),DMC,M(R)",3,193,1,1.7,1.3,-,2.7,0.7,0.7,-,5.93
2,"543Antwoine HackfordSheff Utd, 19, Forward","Antwoine Hackford Sheff Utd, 19, Forward",0(2),11,-,-,-,-,-,-,-,-,5.92
3,"544Rhian BrewsterSheff Utd, 23, FW","Rhian Brewster Sheff Utd, 23, FW",3(8),305,0.5,-,0.5,-,0.2,0.2,-,-,5.92
4,"545Jaden PhilogeneAston Villa, 22, M(LR)","Jaden Philogene Aston Villa, 22, M(LR)",0(1),3,-,-,-,-,-,-,-,-,5.91
5,"546Matt TargettNewcastle, 28, D(L),M(L)","Matt Targett Newcastle, 28, D(L),M(L)",1(2),78,0.7,-,-,0.7,0.7,-,-,-,5.91
6,"547Kalvin PhillipsWest Ham, 28, D(C),DMC","Kalvin Phillips West Ham, 28, D(C),DMC",2(3),226,1.4,0.8,2,-,0.4,0.4,-,-,5.91
7,"548Ben ParkinsonNewcastle, 18, Forward","Ben Parkinson Newcastle, 18, Forward",0(1),24,-,-,-,-,1,-,-,-,5.89
8,"549Brandon AguileraNottingham Forest, 20, Midfielder","Brandon Aguilera Nottingham Forest, 20, Midfielder",0(1),4,-,-,3,-,-,-,-,-,5.89
9,"550Cameron ArcherAston Villa, 22, FW","Cameron Archer Aston Villa, 22, FW",0(1),5,-,-,1,-,-,-,-,-,5.89
0,"551Thiago AlcântaraLiverpool, 32, M(C)","Thiago Alcântara Liverpool, 32, M(C)",0(1),5,-,-,-,-,-,-,-,-,5.89
1,"552Anass ZarouryBurnley, 23, AM(L),FW","Anass Zaroury Burnley, 23, AM(L),FW",1(5),149,0.2,-,0.7,-,0.2,0.7,-,-,5.85
2,"553Ryan OnéSheff Utd, 17, Midfielder","Ryan Oné Sheff Utd, 17, Midfielder",0(1),7,-,-,-,-,-,-,-,-,5.81
3,"554Luke HarrisFulham, 18, AM(C)","Luke Harris Fulham, 18, AM(C)",0(1),74,1,-,2,-,-,1,-,-,5.73
4,"555Andrei RaduBournemouth, 26, GK","Andrei Radu Bournemouth, 26, GK",2,180,-,-,-,-,0.5,-,-,-,5.7
